Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,0,0,0,0,1252,0,0,73945
UFPelH1,1,0,0,0,0,0,2,0,0,57598
UFPelH2,2,11158,1235,0,0,1959,1110,0,1815,56073
UFPelH3,3,3847,1000,0,0,1764,2147,457,3017,63965
UFSMH4,4,0,0,0,0,2,729,7894,8457,27643
UFSMH5,5,0,0,1131,387,14337,4709,10112,3905,25942
UFSMH6,6,0,79,1392,923,1490,2571,3235,8950,27085
UFSMH7,7,11721,2515,0,4833,2543,1354,7479,9136,22942
IFSulH8,8,7918,1524,0,0,10464,9017,7035,0,5359
IFSulH9,9,8119,1000,0,3042,4222,1938,3897,11233,6866
IFSulH10,10,6286,8704,2049,1679,8440,3018,990,1705,6446
IFSulH11,11,0,0,0,0,0,0,0,906,22494
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
